EnterpriseID1,EnterpriseID2,MATCH_SCORE
15675694,15781179,12.1615329115
15701815,15902832,12.1506288756
15679996,15913163,12.0717893218
15380062,15857634,11.8158008658
15469807,15999984,11.6352813853
15671170,15880191,11.5793650794
15638765,15930759,11.5464535465
15493862,15582087,11.4957792208
15543706,15610005,11.469132317
15413238,15428553,11.4662337662
15812701,16004341,11.4579004329
15985755,16019653,11.3973263973
15638968,15705524,11.3730713731
15451033,15719137,11.3593643199
15506472,15576622,11.3519480519
15647900,15951904,11.3188311688
15408293,15721617,11.2818181818
15767928,15909253,11.2717893218
15577256,15924724,11.2662337662
15407543,15416833,11.2533766234
15496594,15738564,11.2498917749
15489090,15750601,11.2126310093
15448453,15792672,11.169047619
15800180,15907038,11.1412337662
15725116,16010090,11.1384732417
15628462,15989175,11.1086397813
15412549,15437308,11.088276777
15564595,15615531,11.0733766234
15738015,15889331,11.0579004329
15685927,15876681,11.0553584347
15831250,15839818,11.04004329
15440995,15886739,11.030952381
15780163,16000925,11.0308802309
15451655,15541912,11.0138528139
15416625,15467412,10.996031746
15613844,15797341,10.9930735931
15904629,15953766,10.9581529582
15844914,15917959,10.9567099567
15515104,15955375,10.9544817927
15626622,15661124,10.9543290043
15449791,15635521,10.94004329
15536498,15626321,10.94004329
15662214,15683859,10.9289321789
15448741,15652859,10.9289321789
15557752,15987757,10.9253246753
15528725,15900873,10.9238095238
15473885,15771638,10.8942099567
15895849,16005413,10.8908008658
15406104,15903578,10.876984127
15456345,16004265,10.8733766234
15420497,15691070,10.8704004329
15718462,15954084,10.8582251082
15432398,15663437,10.8495670996
15849477,16000088,10.8411185589
15757055,15800363,10.84004329
15409014,15429502,10.8385281385
15375461,15698879,10.838023088
15512993,15935507,10.8287114846
15603423,15797138,10.8263680764
15786508,16023962,10.8141125541
15393793,15548225,10.8106516291
15739029,15781775,10.8092740593
15669857,15766089,10.8079004329
15387702,15883463,10.8065372276
15821910,15970314,10.8005602241
15685601,15964407,10.7896103896
15748646,15781785,10.7892067392
15407184,15728017,10.7851190476
15583569,15680726,10.7724994304
15377887,15493861,10.7677730913
15580920,15907143,10.7662337662
15443464,15768583,10.7662337662
15845145,15888917,10.7654818865
15418633,15891893,10.7567099567
15457300,15749673,10.7449305081
15742780,15983901,10.738023088
15526941,15883696,10.7120863008
