EnterpriseID1,EnterpriseID2,MATCH_SCORE
12987754,12987755,3
14144728,14144732,4
13986095,13986100,3
12324380,12324384,5
14563522,14563528,4
15060440,15060446,3
14438474,14438480,3
15190585,15190588,3
14957192,14957196,3
15035074,15035077,2
14139552,14139555,5
13639348,13639353,3
14417329,14417333,3
15243363,15243370,2
14090138,14090143,4
14315356,14315357,2
14296405,14296411,4
14444397,14444399,4
13455433,13455437,3
14796006,14796012,4
15050127,15050129,3
13102836,13102841,5
12332911,12332917,3
14918388,14918390,5
13651443,13651445,3
12444583,12444589,3
13490921,13490922,3
14986705,14986710,3
15048570,15048573,3
13140799,13140801,4
14324813,14324816,5
12419537,12419540,4
12592167,12592173,3
13408098,13408099,3
13574723,13574725,3
15051067,15051072,3
13729249,13729255,3
14234715,14234719,3
14872613,14872617,2
13787290,13787293,5
15172111,15172113,2
13028269,13028272,2
14198950,14198953,3
15079967,15079973,3
12420672,12420677,3
13104070,13104075,3
13748375,13748379,3
12285698,12285700,3
14536568,14536570,5
15175891,15175892,3
14636503,14636509,3
12375133,12375139,2
14707870,14707876,3
14967180,14967183,2
13551200,13551206,3
14261703,14261708,3
15220379,15220385,3
12365845,12365846,3
14240951,14240955,3
13832141,13832142,2
15144010,15144012,3
13908257,13908258,3
13712944,13712945,3
12523967,12523970,3
13609977,13609983,2
14166917,14166922,3
13492816,13492820,3
12461632,12461639,3
15185434,15185440,3
12229001,12229007,3
15199364,15199367,3
13663050,13663054,3
12523643,12523646,3
13851002,13851007,3
12378302,12378304,4
13741877,13741880,3
13799179,13799182,3
15136719,15136724,3
13546041,13546046,3
13546525,13546528,2
12499133,12499139,4
14181438,14181443,3
14430191,14430197,3
13617932,13617933,2
12492424,12492430,3
12500807,12500809,3
14689921,14689922,6
15164416,15164419,3
15364912,15364918,5
14854901,14854905,2
14777945,14777948,3
14339877,14339882,4
15314675,15314681,3
12177336,12177339,2
13756692,13756696,3
15298218,15298221,4
15044461,15044464,3
13779218,13779222,3
13604293,13604294,3
12333875,12333881,3
13871490,13871493,4
13745169,13745171,3
13523786,13523790,3
14204503,14204504,3
15214728,15214731,3
14368998,14369002,4
13224556,13224558,2
13236313,13236314,3
13468449,13468454,3
14525645,14525646,3
13375485,13375489,3
13265790,13265794,2
15028889,15028893,3
15350231,15350237,2
14121322,14121327,2
12881314,12881320,3
14991121,14991124,3
13973213,13973215,3
12713511,12713513,2
12788414,12788418,2
12459045,12459047,3
13040492,13040494,3
15216608,15216613,3
14225800,14225801,2
13531022,13531027,4
12864009,12864010,3
15056512,15056516,3
14959026,14959029,3
14367215,14367222,3
13641221,13641227,3
12215563,12215564,3
14705161,14705163,3
13212749,13212751,3
13239238,13239241,3
14772368,14772372,2
12632640,12632645,3
12681120,12681124,4
13751039,13751040,3
14411861,14411862,4
14955508,14955512,2
13766474,13766478,3
13254905,13254907,3
