EnterpriseID1,EnterpriseID2,MATCH_SCORE
15944470,15976967,7.0
15594073,15684920,1.0
15376574,15526708,2.0
15709348,15999512,3.0
15705707,15900165,5.0
15571218,16020248,8.0
15666314,15710617,6.0
13903813,15795966,1.0
12312542,14380156,3.0
15536332,15624655,4.0
15572258,15979062,5.0
15434009,15876928,6.0
15475181,15676690,6.0
15680889,15923026,6.0
15422512,15740894,7.0
15538072,15805071,5.0
15609016,15944704,7.0
15552941,15949722,4.0
15467343,15648944,7.0
13903588,14968460,1.0
12604105,15791413,2.0
15475298,15960679,5.0
13719870,14915519,3.0
15565203,15646550,11.0
12381568,14369582,1.0
15662532,15666934,5.0
14610152,15037682,2.0
15732702,15977246,4.0
15930552,16012502,2.0
15475993,15540673,7.0
15741749,15981887,2.0
15798033,15811163,5.0
13048247,15058088,3.0
15569250,15605356,4.0
15815435,15952166,4.0
15673680,15741676,7.0
15756082,16021451,6.0
13351719,15062271,2.0
15390175,15862407,7.0
15554225,15768417,8.0
15703679,16024388,7.0
15600612,15621059,5.0
15721808,15868517,5.0
15429559,15816976,5.0
15590861,15905701,5.0
15631495,15650469,3.0
15650826,16002934,5.0
15636950,15921342,4.0
15671589,15704089,4.0
14771796,15837240,2.0
15383474,15873316,3.0
15886326,15956010,1.0
14327294,15536108,1.0
15377908,15803451,4.0
15516031,15626867,8.0
15557849,15806848,1.0
15637891,15880333,5.0
15602223,15817113,1.0
15775609,15992118,8.0
15487416,15955717,4.0
15407462,15861146,7.0
15732180,15895004,8.0
15411598,15665126,7.0
15505076,15984236,5.0
15696685,15770386,7.0
15592234,15637351,8.0
15569604,15879859,5.0
15916694,15965871,4.0
13060003,14688444,1.0
15511652,15860792,7.0
15542833,15902936,7.0
15622341,15747887,7.0
15735761,15767335,6.0
15405026,15511307,4.0
15552748,15643231,4.0
15409162,16027670,7.0
15432809,15672536,5.0
15571591,15724728,8.0
15674509,15751776,7.0
14525598,15254301,2.0
15456290,15630987,8.0
15552773,15823200,5.0
15534284,15747602,3.0
15480647,15855853,8.0
15917728,15971219,3.0
15776147,16019534,11.0
12540718,14698723,1.0
15377909,15813746,5.0
15920844,16003126,8.0
15695098,15996312,5.0
15375850,15873962,4.0
15408810,15484142,3.0
15920614,15932451,8.0
15642137,15918811,2.0
15554822,15727149,8.0
15448019,15909239,4.0
15656876,15802524,7.0
13321335,13373814,2.0
12317296,14271037,4.0
15754980,15948616,5.0
15664080,15875350,5.0
15802963,15960241,3.0
15428803,15874604,11.0
15622552,15733738,8.0
15636606,15679614,7.0
15647485,15987881,4.0
15690361,15939026,3.0
15542924,15747994,8.0
15811817,15903774,8.0
15521659,15718679,5.0
13384629,15267456,2.0
15808746,15961723,2.0
15559612,15719673,7.0
15395800,15552516,4.0
15492967,15723399,1.0
15902589,15944825,5.0
15801030,15809802,4.0
15575956,15736059,5.0
13210732,15274967,1.0
15760078,15996365,6.0
15640704,15729046,1.0
15529143,16016031,3.0
15570400,15819947,7.0
15659771,15702073,5.0
12256500,13690578,3.0
15511944,15792157,4.0
15689906,15857152,4.0
15417402,15795380,7.0
15561131,16012806,5.0
15724642,15988744,8.0
15417132,15462582,4.0
12959876,15626163,2.0
15991458,15996249,7.0
15490627,15701459,3.0
15834679,15976521,3.0
13313922,13716563,4.0
15812135,15956239,4.0
15710363,15980757,3.0
15492447,15964274,5.0
15622103,15954661,5.0
15532074,15767410,8.0
15834013,15956523,1.0
15603706,15841555,7.0
15507685,15571048,7.0
15533662,15888768,7.0
15552461,15758002,8.0
15865414,15960192,4.0
13762624,15596198,4.0
15641846,15698937,7.0
15599936,15850645,1.0
14825147,15153416,1.0
15559535,15923612,8.0
15837024,15871530,8.0
15828803,16026808,5.0
15408815,15528422,4.0
12545865,14182912,2.0
15689805,15694741,6.0
15564721,15760946,10.0
15694210,15955704,7.0
12677785,13403018,1.0
15476089,15933239,8.0
15622646,15873911,5.0
13277430,13504319,1.0
15860760,15954500,7.0
15757846,15994875,4.0
